,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
457,Qasigiannguit,GL,68.8193,-51.1922,0.23,82,100,4.65,overcast clouds
458,Cam Ranh,VN,11.9214,109.1591,76.96,73,40,18.41,scattered clouds
459,Rybnaya Sloboda,RU,55.4613,50.1409,19.29,96,100,5.88,light snow
460,Zlobin,HR,45.2924,14.6541,44.58,93,75,4.61,broken clouds
461,Maragogi,BR,-9.0122,-35.2225,82.92,68,66,10.6,broken clouds
462,Ixtapa,MX,20.7,-105.2,78.55,31,2,3.56,clear sky
463,Kourou,GF,5.1552,-52.6478,87.85,67,97,5.03,overcast clouds
464,Xinan,CN,26.72,119.8556,51.35,75,100,7.0,overcast clouds
465,Aswan,EG,24.0934,32.907,72.7,24,0,8.05,clear sky
466,Lasa,IT,46.6166,10.7002,41.88,94,84,3.11,broken clouds
467,Broken Hill,AU,-31.95,141.4333,71.8,38,1,16.46,clear sky
468,Beringovskiy,RU,63.05,179.3167,-13.7,89,98,14.25,overcast clouds
469,Sofiyivka,UA,48.0493,33.8746,36.21,81,92,10.13,overcast clouds
470,Sandy Bay,AU,-42.913,147.3532,55.29,78,0,5.75,clear sky
471,Honningsvag,NO,70.9821,25.9704,22.75,68,100,21.85,overcast clouds
472,Lavrentiya,RU,65.5833,-171.0,-9.8,88,56,8.23,broken clouds
473,Hokitika,NZ,-42.7167,170.9667,58.57,90,95,1.48,overcast clouds
474,Darnah,LY,32.767,22.6367,62.44,74,0,10.29,clear sky
475,Kulevcha,UA,46.0303,29.9361,42.03,85,71,9.13,broken clouds
476,Mayo,US,38.8876,-76.5119,49.17,59,0,9.22,clear sky
477,Pangnirtung,CA,66.1451,-65.7125,1.4,85,100,3.44,light snow
478,Borogontsy,RU,62.6683,131.1683,-22.13,98,96,4.56,overcast clouds
479,Nova Vicosa,BR,-17.8919,-39.3719,83.48,67,98,13.73,overcast clouds
480,Diamantino,BR,-14.4086,-56.4461,80.1,76,99,6.33,overcast clouds
481,Massakory,TD,12.996,15.7293,78.66,13,29,12.62,scattered clouds
482,Gubkinskiy,RU,64.434,76.5026,-20.61,100,81,6.64,broken clouds
483,Fez,MA,34.0372,-4.9998,64.65,45,0,2.3,clear sky
484,Salalah,OM,17.0151,54.0924,76.12,28,11,16.2,few clouds
485,Udhampur,IN,32.9333,75.1333,50.0,86,100,4.16,overcast clouds
486,Puerto Carreno,CO,6.189,-67.4859,85.98,62,0,11.5,clear sky
487,Hunchun,CN,42.8675,130.3581,12.27,72,2,10.13,clear sky
488,Hobyo,SO,5.3505,48.5268,78.03,71,44,17.38,scattered clouds
489,Ararat,AM,39.8317,44.7049,34.14,50,2,2.06,clear sky
490,Pauini,BR,-7.7136,-66.9764,81.82,79,78,5.12,broken clouds
491,Catamarca,AR,-28.4696,-65.7852,87.78,36,90,1.99,overcast clouds
492,Sur,OM,22.5667,59.5289,72.82,60,0,23.26,clear sky
493,Fort Nelson,CA,58.8053,-122.7002,2.79,85,75,2.3,broken clouds
494,Rio Grande,BR,-32.035,-52.0986,73.85,44,0,16.69,clear sky
495,Tofield,CA,53.3668,-112.6686,-3.48,99,53,5.39,broken clouds
496,Edson,CA,53.5835,-116.4356,6.94,100,0,3.44,clear sky
497,Haapsalu,EE,58.9431,23.5414,35.91,94,100,15.64,light snow
498,Aanekoski,FI,62.6946,25.818,26.67,100,100,12.01,overcast clouds
499,Bardiyah,LY,31.7561,25.0865,63.46,75,3,11.65,clear sky
500,Concordia,AR,-31.393,-58.0209,80.67,47,20,0.0,few clouds
501,Zhangye,CN,38.9342,100.4517,18.79,42,0,5.01,clear sky
502,Coari,BR,-4.085,-63.1414,82.74,81,89,3.65,light rain
503,Hvide Sande,DK,56.0045,8.1294,45.81,83,98,27.83,overcast clouds
504,Marang,MY,5.2056,103.2059,80.51,76,100,8.21,overcast clouds
505,Pangai,TO,-19.8,-174.35,79.99,76,93,8.41,light rain
506,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,73,20,10.36,few clouds
507,Shinjo,JP,38.7586,140.3008,30.27,93,95,13.09,light snow
508,Fallon,US,39.4735,-118.7774,33.67,75,100,6.91,overcast clouds
509,Grindavik,IS,63.8424,-22.4338,21.67,73,40,11.5,scattered clouds
510,Okhotsk,RU,59.3833,143.3,-8.84,87,34,9.28,scattered clouds
511,Marsabit,KE,2.3284,37.9899,74.59,33,27,12.12,scattered clouds
512,Sandwick,GB,60.0,-1.25,44.42,81,40,21.85,light rain
513,Den Helder,NL,52.9599,4.7593,48.18,84,75,18.01,broken clouds
514,Ust-Kulom,RU,61.6864,53.6902,-4.79,99,99,4.61,overcast clouds
515,Paso De Los Toros,UY,-32.8167,-56.5167,86.0,17,0,10.54,clear sky
516,Kieta,PG,-6.2167,155.6333,77.83,82,100,3.09,overcast clouds
517,Narsaq,GL,60.9167,-46.05,7.36,62,0,7.81,clear sky
518,Evanston,US,42.0411,-87.6901,52.47,86,99,5.99,overcast clouds
519,Elliot Lake,CA,46.3834,-82.6331,35.64,100,100,7.65,overcast clouds
520,Gobabis,NA,-22.45,18.9667,87.51,24,83,2.71,broken clouds
521,Arlit,NE,18.7369,7.3853,76.95,15,97,4.18,overcast clouds
522,Karratha,AU,-20.7377,116.8463,87.73,51,66,13.58,broken clouds
523,Necochea,AR,-38.5473,-58.7368,79.66,27,7,5.79,clear sky
524,Wexford,IE,52.3342,-6.4575,46.13,79,26,5.01,scattered clouds
525,Ende,ID,-8.8432,121.6623,78.64,89,100,5.12,moderate rain
526,Boden,SE,65.8252,21.6886,24.8,90,100,10.98,overcast clouds
527,Moose Factory,CA,51.2585,-80.6094,26.6,93,100,6.91,light snow
528,Tuy Hoa,VN,13.0833,109.3,70.88,91,100,13.02,overcast clouds
529,Pasewalk,DE,53.5063,13.99,50.54,70,59,18.3,broken clouds
530,Port-Cartier,CA,50.0334,-66.8654,11.88,73,100,3.18,overcast clouds
531,Osypenko,UA,46.9136,36.8253,36.7,82,95,7.29,overcast clouds
532,Brae,GB,60.3964,-1.353,43.83,66,100,21.54,overcast clouds
533,Walvis Bay,NA,-22.9575,14.5053,79.75,47,0,8.05,clear sky
534,Chabahar,IR,25.2919,60.643,72.61,36,0,13.33,clear sky
535,Zabol,AF,32.25,67.25,35.67,85,38,18.48,scattered clouds
536,Sobolevo,RU,54.4299,31.8996,31.91,99,100,7.87,light snow
537,Bucksport,US,44.5737,-68.7956,36.75,78,98,5.01,overcast clouds
538,Balangir,IN,20.7167,83.4833,63.59,30,4,1.39,clear sky
539,Saint-Augustin,CA,51.226,-58.6502,13.37,74,4,14.32,clear sky
540,Ishige,JP,36.1167,139.9667,48.83,50,55,7.87,broken clouds
541,Boyolangu,ID,-8.1181,111.8935,75.25,93,100,3.13,light rain
542,Nailsea,GB,51.4324,-2.7585,47.73,86,75,16.11,broken clouds
543,Sumbe,AO,-11.2061,13.8437,78.75,76,100,5.19,overcast clouds
544,Grand Gaube,MU,-20.0064,57.6608,81.0,68,32,3.0,scattered clouds
545,Pouembout,NC,-21.1333,164.9,75.87,93,98,3.96,overcast clouds
546,Kupang,ID,-10.1667,123.5833,81.18,89,75,8.05,heavy intensity rain
547,Gerede,TR,40.8008,32.1969,34.57,77,5,4.21,clear sky
548,Salekhard,RU,66.53,66.6019,-13.72,100,97,2.26,overcast clouds
549,Warrington,GB,53.3925,-2.5802,46.87,78,20,19.57,few clouds
550,Kamenka,RU,51.3223,42.7678,27.55,97,95,9.37,overcast clouds
551,Mount Darwin,ZW,-16.7725,31.5838,78.22,60,59,8.63,broken clouds
552,Novaya Zaimka,RU,56.4857,66.9241,-7.71,100,86,4.5,overcast clouds
553,Baruun-Urt,MN,46.6806,113.2792,0.7,85,3,13.82,clear sky
554,Cilegon,ID,-6.0174,106.0538,78.71,81,100,13.13,overcast clouds
555,Loukhi,RU,66.0764,33.0381,-2.99,100,94,3.65,overcast clouds
556,Liverpool,GB,53.4106,-2.9779,46.18,77,20,19.57,few clouds
557,Dunedin,NZ,-45.8742,170.5036,50.56,88,100,10.74,overcast clouds
558,Smithers,CA,54.7804,-127.1743,8.92,92,100,2.3,overcast clouds
559,Pizarro,CO,4.9533,-77.366,80.11,78,28,3.11,light rain
560,Maracaibo,VE,10.6317,-71.6406,84.36,60,2,1.72,clear sky
561,Port Hardy,CA,50.6996,-127.4199,41.18,87,100,28.77,light intensity shower rain
562,Moron,AR,-34.6534,-58.6198,84.02,34,3,4.09,clear sky
563,Kragujevac,RS,44.0167,20.9167,46.69,77,9,5.7,clear sky
564,San Andres,CO,12.5847,-81.7006,84.22,74,20,17.27,few clouds
565,Toktogul,KG,41.8708,72.9402,27.05,83,100,0.87,overcast clouds
566,Ellensburg,US,46.9965,-120.5479,33.01,91,100,4.61,overcast clouds
567,Nouadhibou,MR,20.931,-17.0347,67.89,75,12,9.82,few clouds
568,Novyy Urengoy,RU,66.0833,76.6333,-19.61,100,72,6.98,broken clouds
569,Banda Aceh,ID,5.5577,95.3222,76.93,81,75,8.3,broken clouds
570,North Bend,US,43.4065,-124.2243,51.08,89,100,16.08,overcast clouds
571,Poronaysk,RU,49.2167,143.1167,-0.02,95,43,5.73,scattered clouds
572,Bolgatanga,GH,10.7856,-0.8514,93.0,10,24,10.2,few clouds
573,Tsaratanana,MG,-16.7833,47.65,80.92,60,36,3.56,scattered clouds
574,Udachnyy,RU,66.4167,112.4,-22.7,98,100,6.42,overcast clouds
575,Sulur,IN,11.0333,77.1333,79.21,65,20,4.61,haze
576,Uribia,CO,11.7139,-72.266,86.59,49,1,16.64,clear sky
577,Cedar City,US,37.6775,-113.0619,26.4,72,79,2.86,broken clouds
578,General Roca,AR,-39.0333,-67.5833,92.62,11,11,6.91,few clouds
579,Jacareacanga,BR,-6.2222,-57.7528,83.88,74,100,2.82,overcast clouds
580,Corrales,US,35.2378,-106.6067,38.79,64,40,3.0,scattered clouds
581,Florence,IT,43.7667,11.25,60.48,72,40,2.3,scattered clouds
582,Wagga Wagga,AU,-35.1167,147.3667,67.84,87,22,7.09,few clouds
583,Mackay,AU,-21.15,149.2,70.68,78,24,2.93,few clouds
584,Berbera,SO,10.4396,45.0143,78.44,73,33,14.03,scattered clouds
585,Kashi,CN,39.4547,75.9797,22.21,53,100,2.24,overcast clouds
586,Portland,US,45.5234,-122.6762,43.48,94,100,3.0,overcast clouds
587,Gerash,IR,27.6652,54.1371,53.74,31,0,2.1,clear sky
588,Omboue,GA,-1.5746,9.2618,82.65,75,98,7.29,light rain
589,Port Macquarie,AU,-31.4333,152.9167,66.88,87,96,7.2,overcast clouds
590,Tondano,ID,1.3038,124.9112,69.89,93,96,3.2,overcast clouds
591,Caxito,AO,-8.5785,13.6643,86.85,54,83,10.33,broken clouds
592,Ketchikan,US,55.3422,-131.6461,39.67,75,100,8.05,light rain
593,Kishapu,TZ,-3.6167,33.8667,72.88,69,95,7.54,overcast clouds
594,Harper,LR,4.375,-7.7169,83.75,66,58,10.89,broken clouds
595,Solnechnyy,RU,50.7214,136.6319,-5.58,98,63,3.74,broken clouds
596,Altamont,US,42.2068,-121.7372,31.98,96,100,13.8,light snow
597,Zeya,RU,53.75,127.2667,-16.37,97,28,2.35,scattered clouds
598,Mildura,AU,-34.2,142.15,63.07,56,0,9.89,clear sky
599,Skibbereen,IE,51.55,-9.2667,47.1,71,55,17.09,broken clouds
600,Atbasar,KZ,51.8,68.3333,12.65,96,100,6.62,light snow
601,Nueva Concepcion,GT,14.2,-91.3,82.85,58,10,3.31,clear sky
602,Acajutla,SV,13.5928,-89.8275,83.17,52,2,3.56,clear sky
603,Maine-Soroa,NE,13.2114,12.0241,74.93,16,16,14.63,few clouds
604,Breves,BR,-1.6822,-50.4803,75.92,91,99,2.01,overcast clouds
605,Shache,CN,38.4167,77.2406,26.62,38,100,2.84,overcast clouds
606,Atasu,KZ,48.6814,71.6433,16.41,98,100,6.96,overcast clouds
607,Nuristan,AF,35.3,70.8333,10.8,90,99,7.07,overcast clouds
608,Kristiansund,NO,63.1115,7.732,43.45,49,0,12.66,light rain
609,Kismayo,SO,-0.3582,42.5454,78.62,82,39,15.82,scattered clouds
610,Vaitape,PF,-16.5167,-151.75,80.85,73,80,14.63,broken clouds
611,Taicheng,CN,38.731,113.228,13.86,34,0,3.44,clear sky
612,Irmo,US,34.086,-81.1832,57.52,71,20,0.0,fog
613,Bilibino,RU,68.0546,166.4372,-27.09,99,99,2.48,overcast clouds
614,Arak,IR,34.0917,49.6892,31.44,67,4,2.17,clear sky
615,Mongoumba,CF,3.6415,18.5936,89.56,23,91,3.27,overcast clouds
616,Jumla,NP,29.2747,82.1838,38.79,53,44,2.71,scattered clouds
617,Ningbo,CN,29.8782,121.5495,39.18,87,75,4.47,mist
618,Shingu,JP,33.7333,135.9833,41.2,70,6,7.58,clear sky
619,Aleksandrovskiy Zavod,RU,50.9237,117.9374,-11.63,95,89,4.25,overcast clouds
620,Musoma,TZ,-1.5,33.8,75.22,69,20,11.5,few clouds
621,Chenzhou,CN,25.8,113.0333,38.39,93,100,2.39,overcast clouds
622,Inhumas,BR,-16.3578,-49.4961,80.33,77,100,6.2,light rain
623,Berlevag,NO,70.8578,29.0864,24.8,58,40,28.77,scattered clouds
624,Sarangani,PH,5.4033,125.4636,81.09,78,100,3.65,overcast clouds
625,Pontiac,US,42.6389,-83.2911,46.06,80,100,11.5,overcast clouds
626,Abu Dhabi,AE,24.4667,54.3667,71.71,56,0,8.05,clear sky
627,Alappuzha,IN,9.49,76.3264,80.55,74,100,2.04,overcast clouds
628,San Jose,US,37.3394,-121.895,50.95,85,100,20.71,overcast clouds
629,Upata,VE,8.0086,-62.3989,78.19,56,71,7.18,broken clouds
630,Muli,MV,2.9167,73.5667,81.07,71,22,8.63,few clouds
631,Auki,SB,-8.7676,160.7034,76.59,85,99,1.52,overcast clouds
632,Songjianghe,CN,42.1859,127.479,-1.46,95,39,4.61,scattered clouds
633,Seymchan,RU,62.8833,152.4333,-39.46,100,85,0.56,overcast clouds
634,Aksu,CN,41.1231,80.2644,19.72,53,15,2.95,few clouds
635,Humberto De Campos,BR,-2.5983,-43.4611,88.54,54,90,8.55,overcast clouds
636,Russell,US,32.3502,-85.1999,61.2,61,54,6.87,broken clouds
637,Bohicon,BJ,7.1783,2.0667,95.34,15,47,4.18,scattered clouds
638,Bara,NG,10.3744,10.7288,83.88,15,4,11.79,clear sky
639,Port-Gentil,GA,-0.7193,8.7815,85.96,74,40,13.8,light rain
640,Daru,PG,-9.0763,143.2092,77.41,87,100,2.91,overcast clouds
641,Xai-Xai,MZ,-25.0519,33.6442,78.69,74,73,14.9,broken clouds
642,Richards Bay,ZA,-28.783,32.0377,72.72,95,99,19.73,moderate rain
643,Mezen,RU,65.8522,44.24,8.22,95,100,6.42,overcast clouds
644,Naze,JP,28.3667,129.4833,56.32,73,100,17.0,overcast clouds
645,Samarai,PG,-10.6167,150.6667,80.2,81,100,6.69,overcast clouds
646,Bubaque,GW,11.2833,-15.8333,77.9,67,98,13.27,overcast clouds
647,Nioaque,BR,-21.1353,-55.83,94.59,35,91,3.53,overcast clouds
648,Yeppoon,AU,-23.1333,150.7333,71.38,81,9,9.13,clear sky
649,Caconda,AO,-13.7333,15.0667,70.14,62,100,4.92,overcast clouds
650,Bontang,ID,0.1333,117.5,79.21,83,100,1.7,overcast clouds
651,Gat,IL,31.61,34.7642,60.4,100,0,5.3,clear sky
652,Pakpattan,PK,30.341,73.3866,55.36,58,44,11.05,scattered clouds
653,Zhezkazgan,KZ,47.8043,67.7144,16.9,99,99,5.37,overcast clouds
654,Sakakah,SA,29.9697,40.2064,56.77,54,0,7.29,clear sky
655,Bougouni,ML,11.417,-7.479,94.14,12,50,7.61,scattered clouds
656,Zhigansk,RU,66.7697,123.3711,-22.81,96,97,12.28,overcast clouds
657,Brownwood,US,31.7093,-98.9912,59.0,92,0,0.0,clear sky
658,Shwebo,MM,22.5667,95.7,65.66,66,24,4.79,few clouds
659,Coihaique,CL,-45.5752,-72.0662,60.75,48,75,4.61,broken clouds
660,Baie-Comeau,CA,49.2168,-68.1489,13.68,79,0,4.61,clear sky
661,Jacqueville,CI,5.2052,-4.4146,81.86,73,60,12.41,broken clouds
662,Baijiantan,CN,45.6333,85.1833,5.54,89,100,0.29,overcast clouds
663,Mangrol,IN,21.1167,70.1167,72.75,54,1,12.55,clear sky
664,Taltal,CL,-25.4,-70.4833,70.52,68,9,7.54,clear sky
665,Hovd,MN,48.0056,91.6419,-3.01,84,35,0.98,scattered clouds
666,Henties Bay,NA,-22.116,14.2845,66.2,75,0,13.02,clear sky
667,Klaksvik,FO,62.2266,-6.589,38.32,56,62,19.89,broken clouds
668,Rundu,NA,-17.9333,19.7667,91.8,23,37,7.72,scattered clouds
669,Jiangyou,CN,31.7667,104.7167,42.66,76,100,1.57,overcast clouds
670,Zaysan,KZ,47.4667,84.8667,12.36,97,100,1.3,overcast clouds
671,Praia,CV,14.9215,-23.5087,79.34,47,20,19.57,few clouds
672,Vostok,RU,46.4856,135.8833,-5.8,98,100,4.47,overcast clouds
673,Malanje,AO,-9.5402,16.341,71.06,87,84,3.36,light rain
674,Tshela,CD,-4.9833,12.9333,80.98,90,69,3.02,light rain
675,Muzaffarabad,PK,34.37,73.4711,46.58,95,100,2.1,overcast clouds
676,Yuxia,CN,34.0615,108.6291,23.61,51,1,0.72,clear sky
677,Gbarnga,LR,6.9956,-9.4722,94.69,26,75,3.65,broken clouds
678,Rosetta,EG,31.4044,30.4164,64.4,68,85,8.01,light rain
679,Dickinson,US,29.4608,-95.0513,76.01,86,100,11.5,overcast clouds
680,Belgrade,RS,44.804,20.4651,55.06,65,0,6.91,clear sky
681,Abu Zabad,SD,12.35,29.25,74.79,21,3,9.6,clear sky
682,Mecca,SA,21.4267,39.8261,74.71,38,98,2.53,overcast clouds
683,Pasighat,IN,28.0667,95.3333,56.62,63,3,4.0,clear sky
684,Manggar,ID,-2.8833,108.2667,78.84,84,100,14.94,moderate rain
685,Gimli,CA,50.6336,-96.9907,20.28,95,100,7.87,light snow
686,Aasiaat,GL,68.7098,-52.8699,6.22,95,100,1.99,overcast clouds
687,Prince Rupert,CA,54.3161,-130.3201,34.41,80,100,11.7,overcast clouds
688,Cairns,AU,-16.9167,145.7667,77.07,97,100,2.3,light rain
